"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Period"
2015,"January 2015","Imports","Kazakhstan",401,1949812,"џэт-рту"
2015,"January 2015","Imports","Kyrgyzstan",401,35716,"џэт-рту"
2015,"January 2015","Exports","Kyrgyzstan",401,6,"џэт-рту"
2015,"January 2015","Exports","Kazakhstan",401,404321,"џэт-рту"
2016,"January 2016","Imports","EU-28",401,1,"џэт-рту"
2016,"January 2016","Imports","Armenia",401,84,"џэт-рту"
2016,"January 2016","Exports","Ukraine",401,25,"џэт-рту"
2016,"January 2016","Exports","Belarus",401,28690114,"џэт-рту"
2016,"January 2016","Imports","Georgia",401,34487,"џэт-рту"
2016,"January 2016","Imports","Kyrgyzstan",401,26868,"џэт-рту"
2016,"January 2016","Exports","Kazakhstan",401,266774,"џэт-рту"
2016,"January 2016","Imports","Kazakhstan",401,1385016,"џэт-рту"
2016,"January 2016","Imports","Belarus",401,98014,"џэт-рту"
2017,"January 2017","Exports","Norway",401,642,"џэт-рту"
2017,"January 2017","Imports","Armenia",401,1077,"џэт-рту"
2017,"January 2017","Imports","Georgia",401,45822,"џэт-рту"
2017,"January 2017","Imports","Egypt",401,0,"џэт-рту"
2017,"January 2017","Exports","Ukraine",401,40,"џэт-рту"
2017,"January 2017","Imports","Azerbaijan",401,4785,"џэт-рту"
2017,"January 2017","Exports","Belarus",401,24372117,"џэт-рту"
2017,"January 2017","Imports","Belarus",401,104133,"џэт-рту"
2017,"January 2017","Exports","Kazakhstan",401,875863,"џэт-рту"
2017,"January 2017","Exports","Serbia",401,7940,"џэт-рту"
2017,"January 2017","Imports","Kazakhstan",401,1749685,"џэт-рту"
2018,"January 2018","Exports","Serbia",401,12940,"џэт-рту"
2018,"January 2018","Imports","EU-28",401,18,"џэт-рту"
2018,"January 2018","Exports","EU-28",401,14834,"џэт-рту"
2018,"January 2018","Exports","Norway",401,600,"џэт-рту"
2018,"January 2018","Exports","Denmark",401,14834,"џэт-рту"
2018,"January 2018","Imports","Armenia",401,1279,"џэт-рту"
2018,"January 2018","Exports","Belarus",401,0,"џэт-рту"
2018,"January 2018","Imports","Belarus",401,169837,"џэт-рту"
2018,"January 2018","Exports","Ukraine",401,134,"џэт-рту"
2018,"January 2018","Imports","Azerbaijan",401,5549,"џэт-рту"
2018,"January 2018","Imports","Rep. of Moldova",401,360,"џэт-рту"
2018,"January 2018","Imports","Georgia",401,41600,"џэт-рту"
2018,"January 2018","Imports","Kyrgyzstan",401,61551,"џэт-рту"
2018,"January 2018","Exports","Kazakhstan",401,2167985,"џэт-рту"
2018,"January 2018","Imports","Kazakhstan",401,432240,"џэт-рту"
2018,"January 2018","Exports","Rep. of Korea",401,5580,"џэт-рту"
2019,"January 2019","Imports","",401,1880,"џэт-рту"
2019,"January 2019","Exports","EU-28",401,31452,"џэт-рту"
2019,"January 2019","Exports","Brazil",401,583,"џэт-рту"
2019,"January 2019","Exports","Denmark",401,31452,"џэт-рту"
2019,"January 2019","Exports","Belarus",401,0,"џэт-рту"
2019,"January 2019","Imports","Kyrgyzstan",401,58982,"џэт-рту"
2019,"January 2019","Imports","Belarus",401,198422,"џэт-рту"
2019,"January 2019","Imports","Kazakhstan",401,346439,"џэт-рту"
2019,"January 2019","Imports","Armenia",401,1598,"џэт-рту"
2019,"January 2019","Imports","Georgia",401,9655,"џэт-рту"
2019,"January 2019","Exports","Turkey",401,2220,"џэт-рту"
2019,"January 2019","Imports","Azerbaijan",401,37802,"џэт-рту"
2019,"January 2019","Exports","Kazakhstan",401,2332577,"џэт-рту"
2020,"January 2020","Imports","United States of America",401,4638,"џэт-рту"
2020,"January 2020","Exports","EU-28",401,67,"џэт-рту"
2020,"January 2020","Exports","Italy",401,67,"џэт-рту"
2020,"January 2020","Re-exports","Turkey",401,3450,"џэт-рту"
2020,"January 2020","Exports","Turkey",401,5650,"џэт-рту"
2020,"January 2020","Exports","Ukraine",401,22,"џэт-рту"
2020,"January 2020","Imports","",401,6000,"џэт-рту"
2020,"January 2020","Imports","Georgia",401,51112,"џэт-рту"
2020,"January 2020","Imports","Azerbaijan",401,43929,"џэт-рту"
2020,"January 2020","Imports","Belarus",401,527504,"џэт-рту"
2020,"January 2020","Exports","Belarus",401,17496318,"џэт-рту"
2020,"January 2020","Imports","Kyrgyzstan",401,60578,"џэт-рту"
2020,"January 2020","Imports","Armenia",401,19251,"џэт-рту"
2010,"January 2010","Exports","United States of America",402,NA,"џэт-рту"
2010,"January 2010","Exports","Portugal",402,5040,"џэт-рту"
2010,"January 2010","Imports","United States of America",402,NA,"џэт-рту"
2010,"January 2010","Exports","Italy",402,104200,"џэт-рту"
2010,"January 2010","Imports","Armenia",402,17840,"џэт-рту"
2010,"January 2010","Exports","Austria",402,NA,"џэт-рту"
2010,"January 2010","Exports","EU-28",402,3433999,"џэт-рту"
2010,"January 2010","Exports","Lithuania",402,212600,"џэт-рту"
2010,"January 2010","Exports","France",402,616300,"џэт-рту"
2010,"January 2010","Exports","Finland",402,402000,"џэт-рту"
2010,"January 2010","Exports","Rep. of Moldova",402,40000,"џэт-рту"
2010,"January 2010","Exports","Germany",402,159990,"џэт-рту"
2010,"January 2010","Exports","Belgium",402,634509,"џэт-рту"
2010,"January 2010","Exports","Ukraine",402,524734,"џэт-рту"
2010,"January 2010","Exports","Estonia",402,299000,"џэт-рту"
2010,"January 2010","Exports","Uruguay",402,175000,"џэт-рту"
2010,"January 2010","Exports","Poland",402,380800,"џэт-рту"
2010,"January 2010","Imports","Kazakhstan",402,692450,"џэт-рту"
2011,"January 2011","Exports","New Zealand",402,34544,"џэт-рту"
2011,"January 2011","Imports","United Arab Emirates",402,89,"џэт-рту"
2011,"January 2011","Exports","Estonia",402,260000,"џэт-рту"
2011,"January 2011","Imports","Kyrgyzstan",402,41954,"џэт-рту"
2011,"January 2011","Exports","Lithuania",402,145500,"џэт-рту"
2011,"January 2011","Exports","Latvia",402,96000,"џэт-рту"
2011,"January 2011","Exports","Belgium",402,1176500,"џэт-рту"
2011,"January 2011","Exports","Germany",402,2423373,"џэт-рту"
2011,"January 2011","Exports","Netherlands",402,70316,"џэт-рту"
2011,"January 2011","Imports","China, Hong Kong SAR",402,5460,"џэт-рту"
2011,"January 2011","Imports","Kazakhstan",402,984300,"џэт-рту"
2011,"January 2011","Exports","Kazakhstan",402,24900,"џэт-рту"
2011,"January 2011","Imports","Jordan",402,80,"џэт-рту"
2011,"January 2011","Exports","Belarus",402,10586021,"џэт-рту"
2011,"January 2011","Imports","Belarus",402,16286,"џэт-рту"
2011,"January 2011","Exports","Ukraine",402,561087,"џэт-рту"
2011,"January 2011","Exports","France",402,718500,"џэт-рту"
2011,"January 2011","Exports","Australia",402,899672,"џэт-рту"
2011,"January 2011","Exports","Finland",402,473000,"џэт-рту"
2011,"January 2011","Exports","Chile",402,75,"џэт-рту"
2011,"January 2011","Exports","EU-28",402,5469641,"џэт-рту"
2011,"January 2011","Imports","Georgia",402,33823,"џэт-рту"
2011,"January 2011","Exports","United Kingdom",402,20000,"џэт-рту"
2011,"January 2011","Exports","Austria",402,27000,"џэт-рту"
2011,"January 2011","Exports","Poland",402,59478,"џэт-рту"
2011,"January 2011","Imports","Rep. of Moldova",402,17348,"џэт-рту"
2011,"January 2011","Exports","Switzerland",402,245000,"џэт-рту"
2012,"January 2012","Exports","New Zealand",402,255424,"џэт-рту"
2012,"January 2012","Exports","EU-28",402,1277988,"џэт-рту"
2012,"January 2012","Imports","EU-28",402,56,"џэт-рту"
2012,"January 2012","Exports","Estonia",402,20000,"џэт-рту"
2012,"January 2012","Exports","Ukraine",402,288007,"џэт-рту"
2012,"January 2012","Imports","Belarus",402,27400,"џэт-рту"
2012,"January 2012","Exports","Switzerland",402,25000,"џэт-рту"
2012,"January 2012","Exports","Austria",402,36000,"џэт-рту"
2012,"January 2012","Imports","Georgia",402,21442,"џэт-рту"
2012,"January 2012","Exports","Kazakhstan",402,17500,"џэт-рту"
2012,"January 2012","Exports","Czech Rep.",402,NA,"џэт-рту"
2012,"January 2012","Exports","Portugal",402,28883,"џэт-рту"
2012,"January 2012","Exports","United States of America",402,NA,"џэт-рту"
2012,"January 2012","Exports","Latvia",402,432,"џэт-рту"
2012,"January 2012","Exports","Kyrgyzstan",402,52,"џэт-рту"
2012,"January 2012","Exports","Lithuania",402,63932,"џэт-рту"
2012,"January 2012","Imports","Armenia",402,6255,"џэт-рту"
2012,"January 2012","Exports","Belgium",402,158982,"џэт-рту"
2012,"January 2012","Exports","Belarus",402,9922754,"џэт-рту"
2012,"January 2012","Exports","Poland",402,1256,"џэт-рту"
2012,"January 2012","Imports","Germany",402,56,"џэт-рту"
2012,"January 2012","Exports","Germany",402,240053,"џэт-рту"
2012,"January 2012","Imports","Kazakhstan",402,1662400,"џэт-рту"
2012,"January 2012","Exports","Thailand",402,NA,"џэт-рту"
2012,"January 2012","Imports","Rep. of Moldova",402,1459,"џэт-рту"
2012,"January 2012","Imports","Kyrgyzstan",402,23516,"џэт-рту"
2012,"January 2012","Exports","Australia",402,16000,"џэт-рту"
2012,"January 2012","Imports","United States of America",402,2911,"џэт-рту"
2012,"January 2012","Exports","Finland",402,524000,"џэт-рту"
2012,"January 2012","Exports","France",402,204400,"џэт-рту"
2013,"January 2013","Imports","Russian Federation",402,206170,"џэт-рту"
2013,"January 2013","Re-imports","Russian Federation",402,206170,"џэт-рту"
2013,"January 2013","Imports","Georgia",402,1,"џэт-рту"
2013,"January 2013","Exports","Austria",402,36000,"џэт-рту"
2013,"January 2013","Exports","New Zealand",402,16230,"џэт-рту"
2013,"January 2013","Exports","Netherlands",402,13050,"џэт-рту"
2013,"January 2013","Exports","France",402,20100,"џэт-рту"
2013,"January 2013","Exports","Australia",402,18000,"џэт-рту"
2013,"January 2013","Imports","EU-28",402,11,"џэт-рту"
2013,"January 2013","Exports","EU-28",402,1245094,"џэт-рту"
2013,"January 2013","Exports","Portugal",402,76140,"џэт-рту"
2013,"January 2013","Exports","United States of America",402,NA,"џэт-рту"
2013,"January 2013","Imports","United States of America",402,24865,"џэт-рту"
2013,"January 2013","Exports","Italy",402,11200,"џэт-рту"
2013,"January 2013","Imports","Israel",402,NA,"џэт-рту"
2013,"January 2013","Exports","Denmark",402,76500,"џэт-рту"
2013,"January 2013","Exports","Ukraine",402,40013,"џэт-рту"
2013,"January 2013","Exports","Latvia",402,432,"џэт-рту"
2013,"January 2013","Exports","Poland",402,40070,"џэт-рту"
2013,"January 2013","Exports","Argentina",402,252000,"џэт-рту"
2013,"January 2013","Imports","Azerbaijan",402,46374,"џэт-рту"
2013,"January 2013","Exports","Finland",402,161000,"џэт-рту"
2013,"January 2013","Imports","Armenia",402,16503,"џэт-рту"
2013,"January 2013","Exports","Germany",402,305142,"џэт-рту"
2013,"January 2013","Imports","Germany",402,11,"џэт-рту"
2013,"January 2013","Exports","Belarus",402,15452704,"џэт-рту"
2013,"January 2013","Imports","Belarus",402,100203,"џэт-рту"
2013,"January 2013","Exports","Belgium",402,457550,"џэт-рту"
2013,"January 2013","Exports","Estonia",402,20000,"џэт-рту"
2013,"January 2013","Exports","Lithuania",402,27958,"џэт-рту"
2013,"January 2013","Imports","Kazakhstan",402,NA,"џэт-рту"
2013,"January 2013","Exports","Czech Rep.",402,2,"џэт-рту"
2013,"January 2013","Exports","Kazakhstan",402,NA,"џэт-рту"
2014,"January 2014","Exports","Poland",402,824133,"џэт-рту"
2014,"January 2014","Exports","Portugal",402,45000,"џэт-рту"
2014,"January 2014","Exports","Denmark",402,130000,"џэт-рту"
2014,"January 2014","Exports","Czech Rep.",402,49000,"џэт-рту"
2014,"January 2014","Exports","Turkey",402,25000,"џэт-рту"
2014,"January 2014","Exports","Ukraine",402,9,"џэт-рту"
2014,"January 2014","Exports","Finland",402,170000,"џэт-рту"
2014,"January 2014","Exports","Austria",402,72600,"џэт-рту"
2014,"January 2014","Exports","EU-28",402,2919823,"џэт-рту"
2014,"January 2014","Imports","EU-28",402,42,"џэт-рту"
2014,"January 2014","Exports","Netherlands",402,289925,"џэт-рту"
2014,"January 2014","Exports","Australia",402,124875,"џэт-рту"
2014,"January 2014","Exports","Italy",402,10809,"џэт-рту"
2014,"January 2014","Exports","India",402,405000,"џэт-рту"
2014,"January 2014","Exports","Belarus",402,12986035,"џэт-рту"
2014,"January 2014","Imports","Belarus",402,164013,"џэт-рту"
2014,"January 2014","Exports","Argentina",402,1150200,"џэт-рту"
2014,"January 2014","Exports","Kazakhstan",402,410638,"џэт-рту"
2014,"January 2014","Imports","Germany",402,42,"џэт-рту"
2014,"January 2014","Exports","Germany",402,40025,"џэт-рту"
2014,"January 2014","Exports","Switzerland",402,60000,"џэт-рту"
2014,"January 2014","Exports","Lithuania",402,63291,"џэт-рту"
2014,"January 2014","Exports","Uruguay",402,99000,"џэт-рту"
2014,"January 2014","Imports","China, Hong Kong SAR",402,1212,"џэт-рту"
2014,"January 2014","Exports","Belgium",402,490200,"џэт-рту"
2014,"January 2014","Imports","Armenia",402,7830,"џэт-рту"
2014,"January 2014","Exports","France",402,395725,"џэт-рту"
2014,"January 2014","Exports","Kyrgyzstan",402,13,"џэт-рту"
2014,"January 2014","Exports","Latvia",402,339083,"џэт-рту"
2014,"January 2014","Imports","Azerbaijan",402,232130,"џэт-рту"
2014,"January 2014","Imports","United States of America",402,21294,"џэт-рту"
2014,"January 2014","Imports","Kazakhstan",402,1779700,"џэт-рту"
2015,"January 2015","Exports","Czech Rep.",402,1,"џэт-рту"
2015,"January 2015","Exports","EU-28",402,26,"џэт-рту"
2015,"January 2015","Imports","Georgia",402,11904,"џэт-рту"
2015,"January 2015","Exports","Netherlands",402,1102,"џэт-рту"
2015,"January 2015","Imports","United States of America",402,12224,"џэт-рту"
2015,"January 2015","Exports","United States of America",402,NA,"џэт-рту"
2015,"January 2015","Exports","New Zealand",402,25563,"џэт-рту"
2015,"January 2015","Exports","Switzerland",402,51200,"џэт-рту"
2015,"January 2015","Imports","Azerbaijan",402,57610,"џэт-рту"
2015,"January 2015","Exports","Germany",402,26,"џэт-рту"
2015,"January 2015","Imports","Belarus",402,114616,"џэт-рту"
2015,"January 2015","Exports","Uruguay",402,76710,"џэт-рту"
2015,"January 2015","Imports","Kazakhstan",402,1300745,"џэт-рту"
2015,"January 2015","Exports","Kazakhstan",402,21372,"џэт-рту"
2015,"January 2015","Exports","Belarus",402,12364147,"џэт-рту"
2015,"January 2015","Exports","Turkey",402,43,"џэт-рту"
2015,"January 2015","Exports","Ukraine",402,9,"џэт-рту"
2015,"January 2015","Imports","Kyrgyzstan",402,9594,"џэт-рту"
2015,"January 2015","Exports","Kyrgyzstan",402,32,"џэт-рту"
2016,"January 2016","Imports","Azerbaijan",402,NA,"џэт-рту"
2016,"January 2016","Exports","Turkey",402,200000,"џэт-рту"
2016,"January 2016","Exports","Paraguay",402,25000,"џэт-рту"
2016,"January 2016","Exports","Kazakhstan",402,13903,"џэт-рту"
2016,"January 2016","Imports","Kazakhstan",402,1609564,"џэт-рту"
2016,"January 2016","Imports","Germany",402,6,"џэт-рту"
2016,"January 2016","Exports","Germany",402,2,"џэт-рту"
2016,"January 2016","Exports","Uruguay",402,600000,"џэт-рту"
2016,"January 2016","Imports","Georgia",402,17232,"џэт-рту"
2016,"January 2016","Exports","Belarus",402,14279077,"џэт-рту"
2016,"January 2016","Exports","Kyrgyzstan",402,2,"џэт-рту"
2016,"January 2016","Imports","Kyrgyzstan",402,50443,"џэт-рту"
2016,"January 2016","Exports","Switzerland",402,220000,"џэт-рту"
2016,"January 2016","Exports","Argentina",402,400000,"џэт-рту"
2016,"January 2016","Imports","China, Hong Kong SAR",402,4272,"џэт-рту"
2016,"January 2016","Exports","EU-28",402,2,"џэт-рту"
2016,"January 2016","Imports","EU-28",402,6,"џэт-рту"
2016,"January 2016","Imports","United States of America",402,28825,"џэт-рту"
2016,"January 2016","Imports","Armenia",402,15134,"џэт-рту"
2016,"January 2016","Imports","Belarus",402,83179,"џэт-рту"
2017,"January 2017","Exports","New Zealand",402,547128,"џэт-рту"
2017,"January 2017","Imports","Germany",402,2,"џэт-рту"
2017,"January 2017","Imports","United States of America",402,2539,"џэт-рту"
2017,"January 2017","Exports","Argentina",402,525600,"џэт-рту"
2017,"January 2017","Exports","Kazakhstan",402,13326,"џэт-рту"
2017,"January 2017","Imports","EU-28",402,2,"џэт-рту"
2017,"January 2017","Exports","EU-28",402,1,"џэт-рту"
2017,"January 2017","Exports","Switzerland",402,170575,"џэт-рту"
2017,"January 2017","Imports","Kyrgyzstan",402,100343,"џэт-рту"
2017,"January 2017","Exports","Kyrgyzstan",402,41000,"џэт-рту"
2017,"January 2017","Imports","Armenia",402,21998,"џэт-рту"
2017,"January 2017","Exports","Turkey",402,1385500,"џэт-рту"
2017,"January 2017","Exports","Rep. of Moldova",402,20000,"џэт-рту"
2017,"January 2017","Imports","Rep. of Moldova",402,2918,"џэт-рту"
2017,"January 2017","Imports","Mongolia",402,54109,"џэт-рту"
2017,"January 2017","Imports","Jordan",402,174,"џэт-рту"
2017,"January 2017","Imports","Kazakhstan",402,793607,"џэт-рту"
2017,"January 2017","Imports","Azerbaijan",402,120,"џэт-рту"
2017,"January 2017","Imports","Georgia",402,3547,"џэт-рту"
2017,"January 2017","Exports","Belarus",402,0,"џэт-рту"
2017,"January 2017","Imports","Belarus",402,73700,"џэт-рту"
2018,"January 2018","Exports","Norway",402,134,"џэт-рту"
2018,"January 2018","Exports","Germany",402,500,"џэт-рту"
2018,"January 2018","Imports","Georgia",402,15112,"џэт-рту"
2018,"January 2018","Exports","Switzerland",402,197525,"џэт-рту"
2018,"January 2018","Exports","Ireland",402,3,"џэт-рту"
2018,"January 2018","Exports","EU-28",402,503,"џэт-рту"
2018,"January 2018","Exports","New Zealand",402,332950,"џэт-рту"
2018,"January 2018","Exports","Belarus",402,0,"џэт-рту"
2018,"January 2018","Imports","Belarus",402,26966,"џэт-рту"
2018,"January 2018","Imports","Slovenia",402,139,"џэт-рту"
2018,"January 2018","Imports","Mongolia",402,54015,"џэт-рту"
2018,"January 2018","Imports","Rep. of Moldova",402,5021,"џэт-рту"
2018,"January 2018","Exports","Armenia",402,160527,"џэт-рту"
2018,"January 2018","Imports","Armenia",402,16004,"џэт-рту"
2018,"January 2018","Imports","United States of America",402,36167,"џэт-рту"
2018,"January 2018","Imports","Israel",402,3836,"џэт-рту"
2018,"January 2018","Exports","Uruguay",402,160333,"џэт-рту"
2018,"January 2018","Exports","Ukraine",402,7,"џэт-рту"
2018,"January 2018","Imports","Azerbaijan",402,4712,"џэт-рту"
2018,"January 2018","Exports","Kazakhstan",402,26040,"џэт-рту"
2018,"January 2018","Imports","Kazakhstan",402,895325,"џэт-рту"
2018,"January 2018","Imports","Kyrgyzstan",402,206732,"џэт-рту"
2018,"January 2018","Exports","Kyrgyzstan",402,40000,"џэт-рту"
2019,"January 2019","Exports","EU-28",402,1,"џэт-рту"
2019,"January 2019","Exports","New Zealand",402,1846050,"џэт-рту"
2019,"January 2019","Imports","Georgia",402,11719,"џэт-рту"
2019,"January 2019","Exports","Paraguay",402,75000,"џэт-рту"
2019,"January 2019","Exports","Turkey",402,225000,"џэт-рту"
2019,"January 2019","Imports","Slovenia",402,133,"џэт-рту"
2019,"January 2019","Imports","EU-28",402,28,"џэт-рту"
2019,"January 2019","Exports","Germany",402,1,"џэт-рту"
2019,"January 2019","Imports","Germany",402,28,"џэт-рту"
2019,"January 2019","Exports","Argentina",402,500020,"џэт-рту"
2019,"January 2019","Imports","Azerbaijan",402,36554,"џэт-рту"
2019,"January 2019","Exports","Brazil",402,111,"џэт-рту"
